"wkrnr","wahlkreisname","Wahlberechtigte Zweitstimmen","Wähler Zweitstimmen","Ungültige Zweitstimmen","Gültige Zweitstimmen","Sozialdemokratische Partei Deutschlands Zweitstimmen","DIE LINKE Zweitstimmen","BÜNDNIS 90/DIE GRÜNEN Zweitstimmen","Freie Demokratische Partei Zweitstimmen","Alternative für Deutschland Zweitstimmen","UNION Zweitstimmen"
1,"Flensburg – Schleswig",228471,171914,1449,170465,40388,14002,22304,18955,11653,58320
2,"Nordfriesland – Dithmarschen Nord",186568,139194,1123,138071,31120,8589,15144,18050,9030,52928
3,"Steinburg – Dithmarschen Süd",176636,132017,1139,130878,29756,8732,12960,17298,11180,47366
4,"Rendsburg-Eckernförde",200831,157354,1087,156267,35766,9962,19337,19071,11578,56585
5,"Kiel",204650,153273,1204,152069,36208,15546,26143,17804,10504,40736
6,"Plön – Neumünster",174937,131713,1199,130514,31013,8503,16350,16481,11161,43778
7,"Pinneberg",238533,187715,1343,186372,42729,13111,21336,24735,15977,63863
8,"Segeberg – Stormarn-Mitte",247296,193280,1335,191945,43027,13237,21010,26043,17166,66367
9,"Ostholstein – Stormarn-Nord",181522,138439,1144,137295,33764,8303,13493,18147,11782,48898
10,"Herzogtum Lauenburg – Stormarn-Süd",244930,193334,1363,191971,42815,12480,20826,26163,18792,66031
11,"Lübeck",181638,130961,1167,129794,32919,12213,16568,14097,11539,38263
12,"Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I",216800,157071,1660,155411,28947,25929,6606,9879,25692,51083
13,"Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I",205876,146768,1657,145111,25029,24409,5521,9008,25688,48841
14,"Rostock – Landkreis Rostock II",222913,164016,1694,162322,25650,33575,10229,10661,25171,49433
15,"Vorpommern-Rügen – Vorpommern-Greifswald I",240887,169528,2116,167412,20405,30107,8498,11490,32881,55110
16,"Mecklenburgische Seenplatte I – Vorpommern-Greifswald II",226039,156965,2152,154813,19064,27246,4068,8659,35595,51789
17,"Mecklenburgische Seenplatte II – Landkreis Rostock III",212099,144239,1798,142441,20594,24102,4592,8198,27382,51007
18,"Hamburg-Mitte",243543,175731,1438,174293,41551,26109,25164,16255,13940,40909
19,"Hamburg-Altona",185944,146090,864,145226,29680,22766,26036,16306,8028,36139
20,"Hamburg-Eimsbüttel",192399,156013,810,155203,34575,19290,26372,17463,9138,41826
21,"Hamburg-Nord",217226,178760,886,177874,38150,16720,25584,24652,10963,55737
22,"Hamburg-Wandsbek",235513,172574,1273,171301,45542,16847,17773,17621,16732,49482
23,"Hamburg-Bergedorf – Harburg",222031,155758,1537,154221,40364,17344,15442,13313,17710,42219
24,"Aurich – Emden",191541,142676,1605,141071,53353,10142,10503,10079,12877,39552
25,"Unterems",235234,176342,1390,174952,48194,9459,10258,13629,14620,74173
26,"Friesland – Wilhelmshaven – Wittmund",189344,139153,1557,137596,42207,9738,9984,12958,12490,45098
27,"Oldenburg – Ammerland",226253,175967,1286,174681,45514,16351,21821,18136,12625,53417
28,"Delmenhorst – Wesermarsch – Oldenburg-Land",227696,170194,1375,168819,47622,11567,13525,17076,16392,56526
29,"Cuxhaven – Stade II",187679,141726,1007,140719,38923,9121,9709,11483,12650,54163
30,"Stade I – Rotenburg II",197297,153044,849,152195,37361,9564,12511,14538,13513,59229
31,"Mittelems",230151,179811,959,178852,41983,8167,10803,16181,9701,88310
32,"Cloppenburg – Vechta",220042,163669,1153,162516,28870,7145,8207,15298,13145,86301
33,"Diepholz – Nienburg I",193934,148298,1020,147278,37505,8951,11992,15515,12434,55833
34,"Osterholz – Verden",196136,153036,1238,151798,40047,11055,14052,13464,14675,53035
35,"Rotenburg I – Heidekreis",168101,127071,967,126104,34211,7422,10068,10699,11671,47558
36,"Harburg",199081,161837,982,160855,35377,10117,16410,18839,16047,57815
37,"Lüchow-Dannenberg – Lüneburg",180865,141000,861,140139,32865,12705,18906,12959,12498,43861
38,"Osnabrück-Land",199131,151302,1107,150195,38529,9156,12346,14603,10940,60737
39,"Stadt Osnabrück",196720,152107,938,151169,37336,12759,18353,14309,9499,53977
40,"Nienburg II – Schaumburg",194800,146673,1019,145654,43307,8289,11831,12430,14945,49896
41,"Stadt Hannover I",179883,134805,956,133849,36645,12470,16292,13658,12226,36401
42,"Stadt Hannover II",193433,149031,940,148091,37964,17823,22079,14735,11241,36203
43,"Hannover-Land I",232926,181650,1274,180376,48783,10890,14335,18869,18366,62828
44,"Celle – Uelzen",214612,162145,1139,161006,40899,9297,12478,16334,17554,58858
45,"Gifhorn – Peine",218556,168861,1288,167573,50445,10166,12094,14004,18289,56567
46,"Hameln-Pyrmont – Holzminden",187377,139780,1107,138673,44190,9130,9995,12531,14054,44424
47,"Hannover-Land II",239923,188495,1479,187016,55161,12305,16290,17925,19392,58984
48,"Hildesheim",218349,169613,1316,168297,52077,10932,14806,13876,15695,54871
49,"Salzgitter – Wolfenbüttel",206133,157046,1327,155719,50482,11266,10213,12450,19115,45985
50,"Braunschweig",192041,147712,1055,146657,38695,13673,17295,14684,12268,42534
51,"Helmstedt – Wolfsburg",183961,137303,1291,136012,40740,9050,8064,10988,14862,47037
52,"Goslar – Northeim – Osterode",202963,150977,1187,149790,48016,9521,9929,13734,15132,48131
53,"Göttingen",220420,170547,1223,169324,47871,14748,19676,15421,13446,51177
54,"Bremen I",252496,188064,1688,186376,45729,26425,23568,19138,15539,48458
55,"Bremen II – Bremerhaven",221655,147855,1908,145947,43215,18204,13165,11918,17705,34951
56,"Prignitz – Ostprignitz-Ruppin – Havelland I",176002,120228,1820,118408,24884,19447,4231,6555,22183,35215
57,"Uckermark – Barnim I",184716,129870,1857,128013,21650,23870,5187,7021,26605,36160
58,"Oberhavel – Havelland II",243108,185012,2402,182610,33856,26091,11684,13912,33987,51968
59,"Märkisch-Oderland – Barnim II",226424,170039,2343,167696,25908,34632,7800,11007,34701,42113
60,"Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I",183182,128058,1913,126145,26055,20925,5238,8194,22633,35556
61,"Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II",247441,195802,1933,193869,35773,35106,19079,17768,26133,48015
62,"Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I",248708,187607,2697,184910,32565,29217,8617,13718,38915,49982
63,"Frankfurt (Oder) – Oder-Spree",194759,140051,2053,137998,22702,26202,5896,9241,30477,33888
64,"Cottbus – Spree-Neiße",178676,132113,2085,130028,19729,21456,4093,9941,34905,31366
65,"Elbe-Elster – Oberspreewald-Lausitz II",168543,123365,2211,121154,18700,18775,3146,8128,30564,33576
66,"Altmark",165625,111193,1330,109863,18721,20346,3648,7838,18419,36022
67,"Börde – Jerichower Land",220786,150499,2411,148088,24053,24555,4236,11413,27905,47566
68,"Harz",215607,143567,2036,141531,22915,25069,4968,9902,23860,47574
69,"Magdeburg",238060,162894,2117,160777,27513,30056,8564,12713,26051,44616
70,"Dessau – Wittenberg",177005,123466,1722,121744,17360,21102,4299,8940,24327,38751
71,"Anhalt",224401,147946,2407,145539,20289,25887,3455,10848,32349,44620
72,"Halle",214668,152467,2173,150294,21196,28892,10457,13533,26727,39833
73,"Burgenland – Saalekreis",191636,131219,2007,129212,17098,21042,3366,10132,31781,38678
74,"Mansfeld",207103,140223,2291,137932,19835,23909,3250,11236,32982,39751
75,"Berlin-Mitte",206706,151412,1969,149443,26788,32118,25708,12972,12289,27861
76,"Berlin-Pankow",237071,188499,1847,186652,29185,43774,26651,12321,23315,36994
77,"Berlin-Reinickendorf",182398,137240,2135,135105,27071,11516,12305,15376,18513,41912
78,"Berlin-Spandau – Charlottenburg Nord",184608,133009,2262,130747,29733,12780,11063,12927,18481,36712
79,"Berlin-Steglitz-Zehlendorf",221210,180720,1763,178957,34279,16352,25361,25461,15824,53281
80,"Berlin-Charlottenburg-Wilmersdorf",198672,158034,1387,156647,30351,18367,24770,23280,12374,40085
81,"Berlin-Tempelhof-Schöneberg",235250,181159,2078,179081,36179,23625,27956,18569,17108,44721
82,"Berlin-Neukölln",202618,143553,2140,141413,27520,25752,18446,10891,15904,31592
83,"Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost",223427,173289,1545,171744,27391,49016,35077,10147,10863,23887
84,"Berlin-Treptow-Köpenick",205106,157111,1923,155188,24109,39000,12168,10067,26278,31372
85,"Berlin-Marzahn-Hellersdorf",200704,138992,2053,136939,19797,35698,5621,7290,29618,28620
86,"Berlin-Lichtenberg",205300,149116,1990,147126,21850,43172,9821,7745,24603,27284
87,"Aachen I",179273,140624,823,139801,34663,14459,17918,19795,8271,38827
88,"Aachen II",228248,173149,1542,171607,60539,10105,8436,19213,14853,52656
89,"Heinsberg",190051,142330,1440,140890,36421,7909,7281,16111,12313,55605
90,"Düren",199675,151595,1461,150134,43816,8809,8198,17155,14432,52412
91,"Rhein-Erft-Kreis I",248982,191505,1637,189868,50014,11392,12526,27398,18091,63664
92,"Euskirchen – Rhein-Erft-Kreis II",246753,187796,1600,186196,43498,11403,12447,27410,18325,66503
93,"Köln I",192574,139718,1087,138631,33666,15271,15800,18067,12290,36565
94,"Köln II",240985,197979,901,197078,38485,21100,30630,33760,9964,56165
95,"Köln III",203647,150629,1104,149525,36849,19118,20973,16850,11731,36500
96,"Bonn",227583,180439,1231,179208,36119,17133,25197,28113,13136,53334
97,"Rhein-Sieg-Kreis I",237415,184295,1538,182757,40922,13038,13757,27267,18237,62334
98,"Rhein-Sieg-Kreis II",216020,174513,1350,173163,34583,11116,15192,30142,15226,61425
99,"Oberbergischer Kreis",208418,156593,1559,155034,35078,9887,9995,21353,16413,56567
100,"Rheinisch-Bergischer Kreis",217425,174420,1891,172529,36221,11042,15581,28787,13777,61423
101,"Leverkusen – Köln IV",212212,155139,1428,153711,41671,14284,13472,18719,14970,43175
102,"Wuppertal I",208129,149950,1383,148567,38696,16100,12754,18437,16431,39341
103,"Solingen – Remscheid – Wuppertal II",222845,164019,1550,162469,40743,12689,11726,22947,16221,51318
104,"Mettmann I",205244,160315,1150,159165,36596,10216,11796,25757,15053,54126
105,"Mettmann II",163229,125496,1056,124440,30492,8458,8599,19691,11926,40601
106,"Düsseldorf I",220764,172947,1037,171910,33493,14675,17148,33940,12029,55052
107,"Düsseldorf II",193175,143599,1053,142546,33218,14111,14379,21277,12968,40606
108,"Neuss I",214779,160050,1275,158775,37438,9895,9583,23585,14887,56983
109,"Mönchengladbach",190552,132006,1170,130836,30547,9627,8169,17946,12373,46786
110,"Krefeld I – Neuss II",201450,155434,1244,154190,34051,9805,10871,26859,12104,54907
111,"Viersen",227423,173280,1262,172018,38368,10342,11591,27576,12841,65475
112,"Kleve",226096,169057,1399,167658,39316,9366,10098,22687,11621,69700
113,"Wesel I",207178,160344,1246,159098,45627,10637,9743,19709,14325,53623
114,"Krefeld II – Wesel II",179118,133705,1175,132530,36714,10090,9307,18032,12186,40955
115,"Duisburg I",167998,121638,2022,119616,37925,10369,7844,12491,13549,30746
116,"Duisburg II",160204,103704,1912,101792,34695,8546,4493,8369,15794,22830
117,"Oberhausen – Wesel III",204816,150312,1451,148861,49165,12373,8228,14890,18560,39085
118,"Mülheim – Essen I",187746,142858,1207,141651,41731,10546,9465,18337,16200,39847
119,"Essen II",163326,110369,1154,109215,34727,9524,6746,10583,16339,25606
120,"Essen III",192918,153336,927,152409,37699,12574,14312,23068,12735,45826
121,"Recklinghausen I",169267,123958,1074,122884,38822,8970,7132,12674,14777,35108
122,"Recklinghausen II",189376,140795,1285,139510,44224,9201,7189,14759,17387,41079
123,"Gelsenkirchen",175210,119414,1348,118066,39524,8703,5489,10834,20113,26452
124,"Steinfurt I – Borken I",202192,154606,1028,153578,35466,8433,9142,19339,9719,67425
125,"Bottrop – Recklinghausen III",202793,151842,1328,150514,47013,10292,7248,15741,18710,44967
126,"Borken II",199978,158146,1090,157056,33697,6540,9220,20609,9405,73881
127,"Coesfeld – Steinfurt II",192946,156813,987,155826,32787,8394,11667,21116,9496,68636
128,"Steinfurt III",195571,152541,1158,151383,41815,9692,11026,17205,10342,57215
129,"Münster",232294,191090,964,190126,39714,19287,27739,25684,9393,62276
130,"Warendorf",209604,163531,1387,162144,38992,8997,10815,21175,12025,65357
131,"Gütersloh I",234272,176708,1681,175027,40104,10595,13817,22848,15081,67175
132,"Bielefeld – Gütersloh II",246216,186152,1536,184616,46883,20522,20567,21364,16514,50995
133,"Herford – Minden-Lübbecke II",228976,168664,1617,167047,47940,11589,11485,19186,18098,52994
134,"Minden-Lübbecke I",204203,151181,1508,149673,43966,9432,9625,16865,15829,49160
135,"Lippe I",170501,128938,1401,127537,35509,8399,8869,15916,14147,40214
136,"Höxter – Lippe II",211026,159883,1692,158191,39038,10188,10194,19543,15197,58939
137,"Paderborn – Gütersloh III",249359,187479,1582,185897,35055,12292,13612,24976,18484,75628
138,"Hagen – Ennepe-Ruhr-Kreis I",207384,150044,1250,148794,43548,10743,8673,18722,17622,42972
139,"Ennepe-Ruhr-Kreis II",178506,137632,1208,136424,40767,11092,11142,17270,13190,37284
140,"Bochum I",206460,156941,1237,155704,46243,15953,13862,17449,15190,39580
141,"Herne – Bochum II",179247,127974,1484,126490,43312,10860,7414,11560,17001,29629
142,"Dortmund I",211316,156097,1174,154923,46424,15506,14702,17193,15197,37967
143,"Dortmund II",203300,143834,1418,142416,46513,12924,10190,15403,15510,34822
144,"Unna I",197873,150831,1251,149580,50205,10313,10254,17196,14689,40697
145,"Hamm – Unna II",235213,171524,1789,169735,53467,11837,8938,17678,19068,51475
146,"Soest",232301,174364,1290,173074,43184,11702,10723,23296,16165,62764
147,"Hochsauerlandkreis",202768,154014,1200,152814,34865,8183,7198,21919,12216,63651
148,"Siegen-Wittgenstein",212912,162306,1347,160959,42551,12624,8857,19125,17154,54648
149,"Olpe – Märkischer Kreis I",206716,152542,1253,151289,35269,8205,6866,20758,13847,61394
150,"Märkischer Kreis II",200546,145474,1252,144222,37193,9427,7060,19328,16688,49061
151,"Nordsachsen",163916,118170,1607,116563,14519,17173,3021,9189,31301,34321
152,"Leipzig I",220654,161407,1477,159930,20674,31137,11300,13565,33291,37622
153,"Leipzig II",227718,175198,1414,173784,22725,39058,18154,14866,27774,38111
154,"Leipzig-Land",215616,161321,1930,159391,18139,23368,5157,12859,42823,47944
155,"Meißen",201310,152988,2075,150913,13148,20111,5531,13156,49615,39406
156,"Bautzen I",213990,161319,2477,158842,14378,22597,3768,12122,52041,42995
157,"Görlitz",213021,156089,2369,153720,14249,21534,4476,10810,50551,41000
158,"Sächsische Schweiz-Osterzgebirge",202580,156342,1967,154375,12040,19708,4643,12795,54749,39581
159,"Dresden I",232636,182849,1731,181118,19246,31004,13936,18610,41812,44104
160,"Dresden II – Bautzen II",235464,186818,1654,185164,17977,32040,16588,17684,43126,42792
161,"Mittelsachsen",201629,150648,1759,148889,14487,21582,4112,11767,46522,41189
162,"Chemnitz",195929,147218,1347,145871,17373,28010,6818,12184,35456,36270
163,"Chemnitzer Umland – Erzgebirgskreis II",183483,138891,1708,137183,14524,20972,3850,10542,36746,41947
164,"Erzgebirgskreis I",220917,166701,2730,163971,15452,23090,3661,12106,47952,50759
165,"Zwickau",207606,150950,2121,148829,16131,24665,4327,11253,38964,45106
166,"Vogtlandkreis",193081,142775,1914,140861,16043,22578,4266,10154,37217,42604
167,"Waldeck",186825,142852,2119,140733,43446,9891,9660,13918,16411,42232
168,"Kassel",222451,167855,2452,165403,46769,18677,18935,15046,17288,41736
169,"Werra-Meißner – Hersfeld-Rotenburg",175992,133726,2659,131067,42737,8746,7843,11096,17173,38531
170,"Schwalm-Eder",188074,145743,2691,143052,44847,9270,9436,13118,18504,41795
171,"Marburg",183296,142365,1579,140786,37202,14420,13088,12191,16125,42377
172,"Lahn-Dill",208744,155002,2201,152801,37794,10210,10768,14821,20931,51125
173,"Gießen",217806,166621,2308,164313,39252,13798,15898,16926,20358,49518
174,"Fulda",209966,161981,3299,158682,28745,9266,10593,17122,25145,61811
175,"Main-Kinzig – Wetterau II – Schotten",179307,138193,2167,136026,32069,8938,9614,14144,20927,43147
176,"Hochtaunus",181516,146315,1706,144609,28947,9562,14074,21713,16132,48436
177,"Wetterau I",176435,138853,1633,137220,31152,9249,13002,17462,15895,43951
178,"Rheingau-Taunus – Limburg",220342,173627,2002,171625,35604,11069,15273,22650,20399,59346
179,"Wiesbaden",189372,139775,1546,138229,29247,13160,16286,18400,15496,40022
180,"Hanau",177469,134190,1867,132323,31150,10006,11345,15185,18626,39126
181,"Main-Taunus",197291,160647,1788,158859,28786,9504,16752,26571,16395,54902
182,"Frankfurt am Main I",199775,144841,1614,143227,29743,17179,19475,19989,13342,37221
183,"Frankfurt am Main II",223942,172393,1620,170773,33511,20059,26415,24336,13737,45731
184,"Groß-Gerau",174727,133318,2138,131180,33318,10755,11862,12645,15943,39950
185,"Offenbach",220194,163580,2286,161294,34519,14261,16421,20372,19050,49302
186,"Darmstadt",242622,192508,2133,190375,42638,19508,27317,20893,18654,52218
187,"Odenwald",234422,184974,2745,182229,42516,13433,16084,19948,22258,59635
188,"Bergstraße",198418,156082,1988,154094,34435,10197,13595,18196,19923,51088
189,"Eichsfeld – Nordhausen – Kyffhäuserkreis",216673,158339,2410,155929,21652,22613,4778,11974,32854,52667
190,"Eisenach – Wartburgkreis – Unstrut-Hainich-Kreis",222558,163154,2268,160886,23206,25171,5596,11545,35824,48340
191,"Jena – Sömmerda – Weimarer Land I",203210,155210,1854,153356,19150,28312,9497,13310,30426,42092
192,"Gotha – Ilm-Kreis",198341,148065,2187,145878,20391,22920,5411,11218,35091,40576
193,"Erfurt – Weimar – Weimarer Land II",221922,168235,2077,166158,23535,32239,12666,14260,30166,42168
194,"Gera – Greiz – Altenburger Land",240738,176933,2541,174392,19845,30402,4709,14315,47275,47690
195,"Saalfeld-Rudolstadt – Saale-Holzland-Kreis – Saale-Orla-Kreis",229126,171879,2128,169751,20427,28088,5124,13209,43740,47769
196,"Suhl – Schmalkalden-Meiningen – Hildburghausen – Sonneberg",234446,170237,2139,168098,22826,28467,5559,11298,38693,50956
197,"Neuwied",239284,181607,2547,179060,45447,11338,10738,18071,19273,68357
198,"Ahrweiler",195618,151587,1598,149989,34113,8519,10059,17397,14437,60937
199,"Koblenz",196999,151153,1524,149629,35679,10332,11862,16152,13701,56616
200,"Mosel/Rhein-Hunsrück",172876,135519,1815,133704,30799,8143,7487,14924,11996,55606
201,"Kreuznach",185172,139908,1697,138211,37906,9493,8629,13654,16198,47189
202,"Bitburg",164480,126879,1831,125048,27255,7433,7710,12888,10058,55591
203,"Trier",192846,151551,1670,149881,36950,12934,13512,13841,11926,55882
204,"Montabaur",210114,163520,1761,161759,39906,9576,10058,17703,17826,60594
205,"Mainz",248996,202534,1655,200879,44203,17148,26415,22608,16535,65713
206,"Worms",213627,169793,2128,167665,42471,10811,13449,17543,21978,54721
207,"Ludwigshafen/Frankenthal",215595,161867,2410,159457,39822,10614,11621,16321,24641,49226
208,"Neustadt – Speyer",220550,176425,2088,174337,37894,10537,15389,19251,22070,61407
209,"Kaiserslautern",229114,172316,2552,169764,47986,13548,11360,15519,23206,49400
210,"Pirmasens",177687,135065,2349,132716,32794,9511,6156,11803,18652,47455
211,"Südpfalz",217633,172369,1962,170407,37293,10975,14788,17560,23191,59309
212,"Altötting",168221,126786,876,125910,15511,6659,8608,11209,18330,55417
213,"Erding – Ebersberg",198198,163357,755,162602,19943,8352,17768,19407,19366,63525
214,"Freising",235746,186647,1015,185632,23029,9506,18036,19308,25178,73650
215,"Fürstenfeldbruck",232125,190769,922,189847,25929,9633,20886,22005,21934,75621
216,"Ingolstadt",238605,184059,1214,182845,24424,9830,13205,17154,27673,76236
217,"München-Nord",226436,174196,668,173528,28903,14302,29334,26241,14982,49953
218,"München-Ost",239169,186913,745,186168,29744,14124,29866,27459,15959,58483
219,"München-Süd",216725,170483,659,169824,27500,14694,29560,22587,14578,50686
220,"München-West/Mitte",241282,193399,778,192621,30617,16638,35605,26356,14895,57322
221,"München-Land",235172,197265,900,196365,27490,9996,24837,30054,18470,73189
222,"Rosenheim",235170,186492,1035,185457,20967,9449,18571,20311,25697,75178
223,"Bad Tölz-Wolfratshausen – Miesbach",165527,132612,795,131817,14457,6486,13605,16343,15391,54786
224,"Starnberg – Landsberg am Lech",213628,177013,747,176266,22332,9594,23111,24950,17460,67512
225,"Traunstein",208466,160615,1046,159569,18916,8508,14680,14614,19191,71196
226,"Weilheim",167159,134333,766,133567,15402,7214,12753,13909,16145,57254
227,"Deggendorf",166659,119455,701,118754,16915,5892,5528,8968,22765,48182
228,"Landshut",249836,192966,1266,191700,25095,9270,13856,19361,28061,75521
229,"Passau",177387,131350,779,130571,19709,7357,8393,11918,20967,52937
230,"Rottal-Inn",168642,124299,794,123505,15765,5510,6478,11215,20401,52752
231,"Straubing",173953,129424,1215,128209,17512,5590,5846,10308,23576,53712
232,"Amberg",215876,169507,1302,168205,26080,8948,11997,12854,21550,71720
233,"Regensburg",252916,198780,1119,197661,28582,13259,20332,17719,25625,74720
234,"Schwandorf",216418,162549,1268,161281,26122,7339,7302,10608,28006,66827
235,"Weiden",168415,130514,1172,129342,24631,6204,6426,8479,17411,55691
236,"Bamberg",182513,145222,801,144421,22529,9351,14279,13776,18392,56138
237,"Bayreuth",163934,127222,693,126529,23198,7022,9994,11369,13566,53063
238,"Coburg",159654,123200,1021,122179,27553,6895,8155,9967,14208,48410
239,"Hof",167552,126918,1126,125792,27775,7185,6989,9890,16605,48772
240,"Kulmbach",170897,135072,1160,133912,23675,6431,7966,10335,17997,58112
241,"Ansbach",243760,185955,1537,184418,31464,12208,16239,13825,21734,74425
242,"Erlangen",180730,148048,676,147372,25578,11115,19862,14973,13953,52414
243,"Fürth",255491,198742,1398,197344,37089,15442,20540,17545,23033,69472
244,"Nürnberg-Nord",192214,146205,902,145303,26456,16962,21909,15412,14503,40106
245,"Nürnberg-Süd",181809,132085,1107,130978,27467,11640,12166,11199,18679,40882
246,"Roth",227560,185895,1341,184554,34040,11635,18033,15990,21317,69743
247,"Aschaffenburg",183362,144938,1508,143430,25198,8699,13432,15610,16642,55009
248,"Bad Kissingen",216030,171202,1300,169902,26904,10085,11359,15084,19650,75788
249,"Main-Spessart",196183,157206,1238,155968,28903,8562,11939,13720,16856,65245
250,"Schweinfurt",199041,156159,1218,154941,26163,10422,11717,13789,18905,63674
251,"Würzburg",225998,182961,1054,181907,32126,12931,23719,18813,15764,67585
252,"Augsburg-Stadt",210528,153228,1174,152054,24112,13649,18782,15149,21015,48420
253,"Augsburg-Land",248812,199077,1231,197846,25240,9737,17447,20565,27045,81831
254,"Donau-Ries",190782,147825,1000,146825,20289,6687,10102,13440,21585,63638
255,"Neu-Ulm",239647,182045,1270,180775,24828,9274,14898,18627,27327,72104
256,"Oberallgäu",226604,176437,1092,175345,21725,10130,19792,18935,18529,72855
257,"Ostallgäu",247539,191581,1412,190169,23044,10387,16214,19898,25384,79932
258,"Stuttgart I",194368,160834,849,159985,23350,14830,31283,26203,11455,46243
259,"Stuttgart II",182501,139180,1153,138027,23458,12553,21071,19210,14899,40109
260,"Böblingen",245678,196557,1657,194900,30296,10434,24746,29510,22874,68991
261,"Esslingen",168715,135479,1094,134385,22579,8361,19565,18512,14692,44748
262,"Nürtingen",207044,168052,1443,166609,25190,9132,23673,24922,20544,56105
263,"Göppingen",178409,137585,1637,135948,23924,6882,16749,17188,19956,45290
264,"Waiblingen",222891,178340,1447,176893,28146,9881,21539,28617,22870,58372
265,"Ludwigsburg",218074,175304,1317,173987,28547,10451,24000,25538,19780,58003
266,"Neckar-Zaber",229280,186362,1525,184837,30472,9719,24282,27145,24212,60898
267,"Heilbronn",242553,185705,2419,183286,32489,10520,19016,23872,30089,58755
268,"Schwäbisch Hall – Hohenlohe",225785,171760,1965,169795,27472,9594,20512,21629,24827,58215
269,"Backnang – Schwäbisch Gmünd",176968,136717,1406,135311,22298,7999,15482,16717,19438,47588
270,"Aalen – Heidenheim",221853,170191,1975,168216,31341,9233,18427,17707,20616,64217
271,"Karlsruhe-Stadt",208868,162139,1228,160911,27044,15452,29408,19251,16741,44776
272,"Karlsruhe-Land",209741,168801,1675,167126,28591,9119,20489,21441,20887,59137
273,"Rastatt",206484,157208,1960,155248,26374,8369,17766,17847,19701,58798
274,"Heidelberg",217934,179138,1306,177832,32806,14812,30491,22556,16850,53138
275,"Mannheim",197289,144078,1355,142723,30309,12989,18803,16050,18309,38746
276,"Odenwald – Tauber",210876,163339,2114,161225,27175,8907,13642,17564,22289,64208
277,"Rhein-Neckar",198251,156402,1748,154654,28486,9738,17687,18933,20942,51797
278,"Bruchsal – Schwetzingen",196426,154622,1932,152690,26560,8674,15500,18180,22794,53147
279,"Pforzheim",219577,167977,1897,166080,27101,8952,17869,22643,27107,54364
280,"Calw",198021,153463,1858,151605,21832,7759,14989,21646,22715,56330
281,"Freiburg",222308,180854,1319,179535,31452,20168,38002,16725,14103,50423
282,"Lörrach – Müllheim",232208,177399,1695,175704,31249,10898,27014,19449,18459,60513
283,"Emmendingen – Lahr",218287,168468,2024,166444,29738,9588,22806,17626,19139,59784
284,"Offenburg",205551,155724,2075,153649,25406,8411,21220,16940,17800,57033
285,"Rottweil – Tuttlingen",199227,152001,1951,150050,21900,7141,15329,20328,20942,57060
286,"Schwarzwald-Baar",165041,125344,1615,123729,19337,6608,15113,15124,15350,46812
287,"Konstanz",205135,158861,1478,157383,24529,11306,25202,20758,16215,52194
288,"Waldshut",177806,136595,1466,135129,22122,7369,18842,14647,13299,53066
289,"Reutlingen",199934,157642,1583,156059,23321,9543,21695,21425,20171,53873
290,"Tübingen",196488,159801,1391,158410,24865,15096,28521,18718,15887,48828
291,"Ulm",222673,177460,1597,175863,27889,9976,24160,20277,20432,64988
292,"Biberach",167025,131693,1418,130275,16557,5997,14729,14321,16236,56162
293,"Bodensee",172782,137146,1195,135951,19321,8316,20015,17954,14164,50428
294,"Ravensburg",186958,146174,1387,144787,19398,8889,21770,16441,14901,56264
295,"Zollernalb – Sigmaringen",183588,139548,1821,137727,19446,7061,15798,18394,18814,52284
296,"Saarbrücken",199885,147602,2172,145430,38322,21669,11748,11753,14042,41394
297,"Saarlouis",207501,160430,2825,157605,42476,20320,8598,12059,15506,52981
298,"St. Wendel",177468,141387,2689,138698,38368,15686,6662,9569,12627,50660
299,"Homburg",192410,145992,2467,143525,39729,17773,8109,11096,16745,44538
