Wkrnr,Wahlkreisname,Bundesland,Einwohner,Migrationshintergrund Anteil,Verfügbares Einkommen PP im Monat,Wahlberechtigte Zweitstimmen,Wähler Zweitstimmen,Ungültige Zweitstimmen,Gültige Zweitstimmen,Sozialdemokratische Partei Deutschlands Zweitstimmen,DIE LINKE Zweitstimmen,BÜNDNIS 90 DIE GRÜNEN Zweitstimmen,Freie Demokratische Partei Zweitstimmen,Alternative für Deutschland Zweitstimmen,UNION Zweitstimmen
141,Herne – Bochum II,Nordrhein-Westfalen,244.4,0.261,18311,179247,127974,1484,126490,43312,10860,7414,11560,17001,29629
142,Dortmund I,Nordrhein-Westfalen,283.8,0.289,18206,211316,156097,1174,154923,46424,15506,14702,17193,15197,37967
143,Dortmund II,Nordrhein-Westfalen,302.4,0.289,18206,203300,143834,1418,142416,46513,12924,10190,15403,15510,34822
144,Unna I,Nordrhein-Westfalen,253.6,0.232,20283,197873,150831,1251,149580,50205,10313,10254,17196,14689,40697
145,Hamm – Unna II,Nordrhein-Westfalen,321.8,0.265,18884,235213,171524,1789,169735,53467,11837,8938,17678,19068,51475
146,Soest,Nordrhein-Westfalen,303,0.204,21376,232301,174364,1290,173074,43184,11702,10723,23296,16165,62764
147,Hochsauerlandkreis,Nordrhein-Westfalen,263.8,0.174,22750,202768,154014,1200,152814,34865,8183,7198,21919,12216,63651
148,Siegen-Wittgenstein,Nordrhein-Westfalen,280.8,0.202,23366,212912,162306,1347,160959,42551,12624,8857,19125,17154,54648
149,Olpe – Märkischer Kreis I,Nordrhein-Westfalen,280.6,0.231,25863,206716,152542,1253,151289,35269,8205,6866,20758,13847,61394
150,Märkischer Kreis II,Nordrhein-Westfalen,272,0.28,24680,200546,145474,1252,144222,37193,9427,7060,19328,16688,49061
151,Nordsachsen,Sachsen,197.6,0.027,18348,163916,118170,1607,116563,14519,17173,3021,9189,31301,34321
152,Leipzig I,Sachsen,275.2,0.081,16542,220654,161407,1477,159930,20674,31137,11300,13565,33291,37622
153,Leipzig II,Sachsen,285.2,0.081,16542,227718,175198,1414,173784,22725,39058,18154,14866,27774,38111
154,Leipzig-Land,Sachsen,258.4,0.028,19319,215616,161321,1930,159391,18139,23368,5157,12859,42823,47944
155,Meißen,Sachsen,245.2,0.033,19013,201310,152988,2075,150913,13148,20111,5531,13156,49615,39406
156,Bautzen I,Sachsen,259.3,0.032,18623,213990,161319,2477,158842,14378,22597,3768,12122,52041,42995
157,Görlitz,Sachsen,260,0.045,17483,213021,156089,2369,153720,14249,21534,4476,10810,50551,41000
158,Sächsische Schweiz-Osterzgebirge,Sachsen,247.4,0.029,18735,202580,156342,1967,154375,12040,19708,4643,12795,54749,39581
159,Dresden I,Sachsen,294.4,0.073,17638,232636,182849,1731,181118,19246,31004,13936,18610,41812,44104
160,Dresden II – Bautzen II,Sachsen,296.4,0.066,17797,235464,186818,1654,185164,17977,32040,16588,17684,43126,42792
161,Mittelsachsen,Sachsen,246.8,0.026,18604,201629,150648,1759,148889,14487,21582,4112,11767,46522,41189
162,Chemnitz,Sachsen,248.6,0.065,18611,195929,147218,1347,145871,17373,28010,6818,12184,35456,36270
163,Chemnitzer Umland – Erzgebirgskreis II,Sachsen,219.2,0.025,18445,183483,138891,1708,137183,14524,20972,3850,10542,36746,41947
164,Erzgebirgskreis I,Sachsen,267.5,0.018,18124,220917,166701,2730,163971,15452,23090,3661,12106,47952,50759
165,Zwickau,Sachsen,251.1,0.031,18656,207606,150950,2121,148829,16131,24665,4327,11253,38964,45106
166,Vogtlandkreis,Sachsen,232.3,0.035,18566,193081,142775,1914,140861,16043,22578,4266,10154,37217,42604
167,Waldeck,Hessen,235,0.159,21290,186825,142852,2119,140733,43446,9891,9660,13918,16411,42232
168,Kassel,Hessen,299.3,0.247,19633,222451,167855,2452,165403,46769,18677,18935,15046,17288,41736
169,Werra-Meißner – Hersfeld-Rotenburg,Hessen,221.9,0.14,19842,175992,133726,2659,131067,42737,8746,7843,11096,17173,38531
170,Schwalm-Eder,Hessen,237.4,0.147,20606,188074,145743,2691,143052,44847,9270,9436,13118,18504,41795
171,Marburg,Hessen,245.2,0.189,19718,183296,142365,1579,140786,37202,14420,13088,12191,16125,42377
172,Lahn-Dill,Hessen,275.4,0.222,21649,208744,155002,2201,152801,37794,10210,10768,14821,20931,51125
173,Gießen,Hessen,286.5,0.222,19880,217806,166621,2308,164313,39252,13798,15898,16926,20358,49518
174,Fulda,Hessen,271,0.16,20727,209966,161981,3299,158682,28745,9266,10593,17122,25145,61811
175,Main-Kinzig – Wetterau II – Schotten,Hessen,232.2,0.225,21761,179307,138193,2167,136026,32069,8938,9614,14144,20927,43147
176,Hochtaunus,Hessen,250.3,0.229,27206,181516,146315,1706,144609,28947,9562,14074,21713,16132,48436
177,Wetterau I,Hessen,237.7,0.191,22008,176435,138853,1633,137220,31152,9249,13002,17462,15895,43951
178,Rheingau-Taunus – Limburg,Hessen,294,0.178,22673,220342,173627,2002,171625,35604,11069,15273,22650,20399,59346
179,Wiesbaden,Hessen,276.2,0.338,22243,189372,139775,1546,138229,29247,13160,16286,18400,15496,40022
180,Hanau,Hessen,254.2,0.246,21744,177469,134190,1867,132323,31150,10006,11345,15185,18626,39126
181,Main-Taunus,Hessen,278,0.257,26355,197291,160647,1788,158859,28786,9504,16752,26571,16395,54902
182,Frankfurt am Main I,Hessen,365.1,0.442,20555,199775,144841,1614,143227,29743,17179,19475,19989,13342,37221
183,Frankfurt am Main II,Hessen,367.6,0.442,20555,223942,172393,1620,170773,33511,20059,26415,24336,13737,45731
184,Groß-Gerau,Hessen,266,0.321,20066,174727,133318,2138,131180,33318,10755,11862,12645,15943,39950
185,Offenbach,Hessen,355.2,0.368,20901,220194,163580,2286,161294,34519,14261,16421,20372,19050,49302
186,Darmstadt,Hessen,341.8,0.269,22135,242622,192508,2133,190375,42638,19508,27317,20893,18654,52218
187,Odenwald,Hessen,319.2,0.251,22034,234422,184974,2745,182229,42516,13433,16084,19948,22258,59635
188,Bergstraße,Hessen,266.9,0.182,22341,198418,156082,1988,154094,34435,10197,13595,18196,19923,51088
189,Eichsfeld – Nordhausen – Kyffhäuserkreis,Thüringen,263.8,0.028,17475,216673,158339,2410,155929,21652,22613,4778,11974,32854,52667
190,Eisenach – Wartburgkreis – Unstrut-Hainich-Kreis,Thüringen,273.3,0.03,18020,222558,163154,2268,160886,23206,25171,5596,11545,35824,48340
191,Jena – Sömmerda – Weimarer Land I,Thüringen,255.8,0.041,17558,203210,155210,1854,153356,19150,28312,9497,13310,30426,42092
192,Gotha – Ilm-Kreis,Thüringen,246.5,0.04,17733,198341,148065,2187,145878,20391,22920,5411,11218,35091,40576
193,Erfurt – Weimar – Weimarer Land II,Thüringen,280.7,0.066,17262,221922,168235,2077,166158,23535,32239,12666,14260,30166,42168
194,Gera – Greiz – Altenburger Land,Thüringen,289.5,0.031,18134,240738,176933,2541,174392,19845,30402,4709,14315,47275,47690
195,Saalfeld-Rudolstadt – Saale-Holzland-Kreis – Saale-Orla-Kreis,Thüringen,278.4,0.024,18365,229126,171879,2128,169751,20427,28088,5124,13209,43740,47769
196,Suhl – Schmalkalden-Meiningen – Hildburghausen – Sonneberg,Thüringen,282.7,0.025,18845,234446,170237,2139,168098,22826,28467,5559,11298,38693,50956
197,Neuwied,Rheinland-Pfalz,309.8,0.206,21726,239284,181607,2547,179060,45447,11338,10738,18071,19273,68357
198,Ahrweiler,Rheinland-Pfalz,246.4,0.161,22014,195618,151587,1598,149989,34113,8519,10059,17397,14437,60937
199,Koblenz,Rheinland-Pfalz,257.2,0.197,21059,196999,151153,1524,149629,35679,10332,11862,16152,13701,56616
200,Mosel/Rhein-Hunsrück,Rheinland-Pfalz,219.5,0.156,22334,172876,135519,1815,133704,30799,8143,7487,14924,11996,55606
201,Kreuznach,Rheinland-Pfalz,237.4,0.177,21362,185172,139908,1697,138211,37906,9493,8629,13654,16198,47189
202,Bitburg,Rheinland-Pfalz,215.2,0.137,21839,164480,126879,1831,125048,27255,7433,7710,12888,10058,55591
203,Trier,Rheinland-Pfalz,262.9,0.153,21106,192846,151551,1670,149881,36950,12934,13512,13841,11926,55882
204,Montabaur,Rheinland-Pfalz,272.6,0.175,22579,210114,163520,1761,161759,39906,9576,10058,17703,17826,60594
205,Mainz,Rheinland-Pfalz,343.9,0.24,22918,248996,202534,1655,200879,44203,17148,26415,22608,16535,65713
206,Worms,Rheinland-Pfalz,284.1,0.203,22393,213627,169793,2128,167665,42471,10811,13449,17543,21978,54721
207,Ludwigshafen/Frankenthal,Rheinland-Pfalz,314.6,0.306,20614,215595,161867,2410,159457,39822,10614,11621,16321,24641,49226
208,Neustadt – Speyer,Rheinland-Pfalz,285.5,0.18,24273,220550,176425,2088,174337,37894,10537,15389,19251,22070,61407
209,Kaiserslautern,Rheinland-Pfalz,296.8,0.196,19816,229114,172316,2552,169764,47986,13548,11360,15519,23206,49400
210,Pirmasens,Rheinland-Pfalz,223.8,0.137,20785,177687,135065,2349,132716,32794,9511,6156,11803,18652,47455
211,Südpfalz,Rheinland-Pfalz,283.2,0.179,21679,217633,172369,1962,170407,37293,10975,14788,17560,23191,59309
212,Altötting,Bayern,220.5,0.198,22185,168221,126786,876,125910,15511,6659,8608,11209,18330,55417
213,Erding – Ebersberg,Bayern,271.2,0.147,24309,198198,163357,755,162602,19943,8352,17768,19407,19366,63525
214,Freising,Bayern,326,0.169,22838,235746,186647,1015,185632,23029,9506,18036,19308,25178,73650
215,Fürstenfeldbruck,Bayern,323.5,0.193,24151,232125,190769,922,189847,25929,9633,20886,22005,21934,75621
216,Ingolstadt,Bayern,327.3,0.246,21717,238605,184059,1214,182845,24424,9830,13205,17154,27673,76236
217,München-Nord,Bayern,368.1,0.343,25838,226436,174196,668,173528,28903,14302,29334,26241,14982,49953
218,München-Ost,Bayern,377.4,0.343,25838,239169,186913,745,186168,29744,14124,29866,27459,15959,58483
219,München-Süd,Bayern,334.8,0.343,25838,216725,170483,659,169824,27500,14694,29560,22587,14578,50686
220,München-West/Mitte,Bayern,370,0.343,25838,241282,193399,778,192621,30617,16638,35605,26356,14895,57322
221,München-Land,Bayern,340,0.227,29954,235172,197265,900,196365,27490,9996,24837,30054,18470,73189
222,Rosenheim,Bayern,317.9,0.169,23680,235170,186492,1035,185457,20967,9449,18571,20311,25697,75178
223,Bad Tölz-Wolfratshausen – Miesbach,Bayern,223.2,0.17,26258,165527,132612,795,131817,14457,6486,13605,16343,15391,54786
224,Starnberg – Landsberg am Lech,Bayern,290.7,0.155,29060,213628,177013,747,176266,22332,9594,23111,24950,17460,67512
225,Traunstein,Bayern,278.1,0.194,22259,208466,160615,1046,159569,18916,8508,14680,14614,19191,71196
226,Weilheim,Bayern,220.3,0.136,24017,167159,134333,766,133567,15402,7214,12753,13909,16145,57254
227,Deggendorf,Bayern,208.4,0.109,20088,166659,119455,701,118754,16915,5892,5528,8968,22765,48182
228,Landshut,Bayern,336.1,0.17,22276,249836,192966,1266,191700,25095,9270,13856,19361,28061,75521
229,Passau,Bayern,225.2,0.127,20065,177387,131350,779,130571,19709,7357,8393,11918,20967,52937
230,Rottal-Inn,Bayern,220,0.14,21229,168642,124299,794,123505,15765,5510,6478,11215,20401,52752
231,Straubing,Bayern,222.4,0.107,20576,173953,129424,1215,128209,17512,5590,5846,10308,23576,53712
232,Amberg,Bayern,275.8,0.126,21131,215876,169507,1302,168205,26080,8948,11997,12854,21550,71720
233,Regensburg,Bayern,334.9,0.188,21814,252916,198780,1119,197661,28582,13259,20332,17719,25625,74720
234,Schwandorf,Bayern,271.2,0.087,20358,216418,162549,1268,161281,26122,7339,7302,10608,28006,66827
235,Weiden,Bayern,210.4,0.099,20390,168415,130514,1172,129342,24631,6204,6426,8479,17411,55691
236,Bamberg,Bayern,234.3,0.125,21716,182513,145222,801,144421,22529,9351,14279,13776,18392,56138
237,Bayreuth,Bayern,204.5,0.137,21698,163934,127222,693,126529,23198,7022,9994,11369,13566,53063
238,Coburg,Bayern,198.7,0.117,24053,159654,123200,1021,122179,27553,6895,8155,9967,14208,48410
239,Hof,Bayern,211.4,0.134,21143,167552,126918,1126,125792,27775,7185,6989,9890,16605,48772
240,Kulmbach,Bayern,210.5,0.09,21623,170897,135072,1160,133912,23675,6431,7966,10335,17997,58112
241,Ansbach,Bayern,315.8,0.144,21613,243760,185955,1537,184418,31464,12208,16239,13825,21734,74425
242,Erlangen,Bayern,242.5,0.204,24270,180730,148048,676,147372,25578,11115,19862,14973,13953,52414
243,Fürth,Bayern,337.2,0.205,22885,255491,198742,1398,197344,37089,15442,20540,17545,23033,69472
244,Nürnberg-Nord,Bayern,285.3,0.364,21791,192214,146205,902,145303,26456,16962,21909,15412,14503,40106
245,Nürnberg-Süd,Bayern,265.1,0.346,22126,181809,132085,1107,130978,27467,11640,12166,11199,18679,40882
246,Roth,Bayern,292.8,0.123,24299,227560,185895,1341,184554,34040,11635,18033,15990,21317,69743
247,Aschaffenburg,Bayern,242.7,0.197,23305,183362,144938,1508,143430,25198,8699,13432,15610,16642,55009
248,Bad Kissingen,Bayern,267.4,0.109,20817,216030,171202,1300,169902,26904,10085,11359,15084,19650,75788
249,Main-Spessart,Bayern,254.6,0.15,21936,196183,157206,1238,155968,28903,8562,11939,13720,16856,65245
250,Schweinfurt,Bayern,256.1,0.165,21354,199041,156159,1218,154941,26163,10422,11717,13789,18905,63674
251,Würzburg,Bayern,285.3,0.163,23105,225998,182961,1054,181907,32126,12931,23719,18813,15764,67585
252,Augsburg-Stadt,Bayern,314.1,0.349,18877,210528,153228,1174,152054,24112,13649,18782,15149,21015,48420
253,Augsburg-Land,Bayern,324.8,0.153,23625,248812,199077,1231,197846,25240,9737,17447,20565,27045,81831
254,Donau-Ries,Bayern,249.8,0.137,23203,190782,147825,1000,146825,20289,6687,10102,13440,21585,63638
255,Neu-Ulm,Bayern,328,0.204,23426,239647,182045,1270,180775,24828,9274,14898,18627,27327,72104
256,Oberallgäu,Bayern,300,0.175,22864,226604,176437,1092,175345,21725,10130,19792,18935,18529,72855
257,Ostallgäu,Bayern,329.2,0.161,22927,247539,191581,1412,190169,23044,10387,16214,19898,25384,79932
258,Stuttgart I,Baden-Württemberg,304.3,0.386,23759,194368,160834,849,159985,23350,14830,31283,26203,11455,46243
259,Stuttgart II,Baden-Württemberg,319.5,0.386,23759,182501,139180,1153,138027,23458,12553,21071,19210,14899,40109
260,Böblingen,Baden-Württemberg,358.7,0.308,23483,245678,196557,1657,194900,30296,10434,24746,29510,22874,68991
261,Esslingen,Baden-Württemberg,245.9,0.269,23606,168715,135479,1094,134385,22579,8361,19565,18512,14692,44748
262,Nürtingen,Baden-Württemberg,293.3,0.271,23600,207044,168052,1443,166609,25190,9132,23673,24922,20544,56105
263,Göppingen,Baden-Württemberg,252.7,0.269,22333,178409,137585,1637,135948,23924,6882,16749,17188,19956,45290
264,Waiblingen,Baden-Württemberg,317.4,0.248,23752,222891,178340,1447,176893,28146,9881,21539,28617,22870,58372
265,Ludwigsburg,Baden-Württemberg,324.7,0.29,23470,218074,175304,1317,173987,28547,10451,24000,25538,19780,58003
266,Neckar-Zaber,Baden-Württemberg,322.1,0.278,23329,229280,186362,1525,184837,30472,9719,24282,27145,24212,60898
267,Heilbronn,Baden-Württemberg,351.7,0.318,29506,242553,185705,2419,183286,32489,10520,19016,23872,30089,58755
268,Schwäbisch Hall – Hohenlohe,Baden-Württemberg,301.8,0.242,21905,225785,171760,1965,169795,27472,9594,20512,21629,24827,58215
269,Backnang – Schwäbisch Gmünd,Baden-Württemberg,241.5,0.232,22927,176968,136717,1406,135311,22298,7999,15482,16717,19438,47588
270,Aalen – Heidenheim,Baden-Württemberg,303.8,0.232,22109,221853,170191,1975,168216,31341,9233,18427,17707,20616,64217
271,Karlsruhe-Stadt,Baden-Württemberg,307.8,0.305,21417,208868,162139,1228,160911,27044,15452,29408,19251,16741,44776
272,Karlsruhe-Land,Baden-Württemberg,281.1,0.207,22619,209741,168801,1675,167126,28591,9119,20489,21441,20887,59137
273,Rastatt,Baden-Württemberg,281.6,0.243,23075,206484,157208,1960,155248,26374,8369,17766,17847,19701,58798
274,Heidelberg,Baden-Württemberg,317.1,0.257,22796,217934,179138,1306,177832,32806,14812,30491,22556,16850,53138
275,Mannheim,Baden-Württemberg,305.8,0.364,19846,197289,144078,1355,142723,30309,12989,18803,16050,18309,38746
276,Odenwald – Tauber,Baden-Württemberg,275.1,0.181,21164,210876,163339,2114,161225,27175,8907,13642,17564,22289,64208
277,Rhein-Neckar,Baden-Württemberg,268.9,0.211,23240,198251,156402,1748,154654,28486,9738,17687,18933,20942,51797
278,Bruchsal – Schwetzingen,Baden-Württemberg,266.8,0.209,22879,196426,154622,1932,152690,26560,8674,15500,18180,22794,53147
279,Pforzheim,Baden-Württemberg,318.3,0.311,22911,219577,167977,1897,166080,27101,8952,17869,22643,27107,54364
280,Calw,Baden-Württemberg,271.6,0.23,22863,198021,153463,1858,151605,21832,7759,14989,21646,22715,56330
281,Freiburg,Baden-Württemberg,313.8,0.253,21003,222308,180854,1319,179535,31452,20168,38002,16725,14103,50423
282,Lörrach – Müllheim,Baden-Württemberg,318.7,0.221,23142,232208,177399,1695,175704,31249,10898,27014,19449,18459,60513
283,Emmendingen – Lahr,Baden-Württemberg,289.2,0.181,21513,218287,168468,2024,166444,29738,9588,22806,17626,19139,59784
284,Offenburg,Baden-Württemberg,272.3,0.212,21662,205551,155724,2075,153649,25406,8411,21220,16940,17800,57033
285,Rottweil – Tuttlingen,Baden-Württemberg,274.1,0.264,23526,199227,152001,1951,150050,21900,7141,15329,20328,20942,57060
286,Schwarzwald-Baar,Baden-Württemberg,230.3,0.26,22805,165041,125344,1615,123729,19337,6608,15113,15124,15350,46812
287,Konstanz,Baden-Württemberg,280.3,0.238,22339,205135,158861,1478,157383,24529,11306,25202,20758,16215,52194
288,Waldshut,Baden-Württemberg,245.8,0.21,22429,177806,136595,1466,135129,22122,7369,18842,14647,13299,53066
289,Reutlingen,Baden-Württemberg,282.1,0.26,23126,199934,157642,1583,156059,23321,9543,21695,21425,20171,53873
290,Tübingen,Baden-Württemberg,270.9,0.224,21953,196488,159801,1391,158410,24865,15096,28521,18718,15887,48828
291,Ulm,Baden-Württemberg,314.7,0.253,22957,222673,177460,1597,175863,27889,9976,24160,20277,20432,64988
292,Biberach,Baden-Württemberg,222.8,0.19,21938,167025,131693,1418,130275,16557,5997,14729,14321,16236,56162
293,Bodensee,Baden-Württemberg,233.3,0.224,23541,172782,137146,1195,135951,19321,8316,20015,17954,14164,50428
294,Ravensburg,Baden-Württemberg,250.5,0.201,22091,186958,146174,1387,144787,19398,8889,21770,16441,14901,56264
295,Zollernalb – Sigmaringen,Baden-Württemberg,249.1,0.223,22823,183588,139548,1821,137727,19446,7061,15798,18394,18814,52284
296,Saarbrücken,Saarland,269.8,0.2,18923,199885,147602,2172,145430,38322,21669,11748,11753,14042,41394
297,Saarlouis,Saarland,265.5,0.161,18991,207501,160430,2825,157605,42476,20320,8598,12059,15506,52981
298,St. Wendel,Saarland,216.7,0.131,21924,177468,141387,2689,138698,38368,15686,6662,9569,12627,50660
299,Homburg,Saarland,243.7,0.155,20506,192410,145992,2467,143525,39729,17773,8109,11096,16745,44538
